t,x
0,-0.043422044569161
0.01,0.179463091167695
0.02,0.249711500764277
0.03,0.389117228799197
0.04,0.380711366153704
0.05,0.566319761640786
0.06,0.525342147659209
0.07,0.560194731372171
0.08,0.563892302347075
0.09,0.478898538570267
0.1,0.457627310937696
0.11,0.534691776924377
0.12,0.517526594934443
0.13,0.488068094733981
0.14,0.537322071329873
0.15,0.743468234982611
0.16,0.721131810961962
0.17,0.94956230417752
0.18,1.06503078090646
0.19,1.05804387428826
0.2,1.09314946710655
0.21,1.15453591069217
0.22,1.12069636548008
0.23,1.0912677308739
0.24,1.10782556097497
0.25,0.972656095726415
0.26,0.952577147762345
0.27,0.912166268045421
0.28,0.741645576765747
0.29,0.776685639675033
0.3,0.793606482878863
0.31,0.739646497068103
0.32,0.77318541984509
0.33,0.808356674574923
0.34,0.911128704127501
0.35,0.856137345808575
0.36,1.01245338593914
0.37,0.892274467068832
0.38,0.909935184828158
0.39,0.793325795706499
0.4,0.689072086813564
0.41,0.607501017465041
0.42,0.388654679768387
0.43,0.281390327817547
0.44,0.184952568394115
0.45,0.192719865886386
0.46,-0.020200835496114
0.47,-0.007038187922061
0.48,-0.058204319129329
0.49,0.049995749769776
0.5,0.051998089451809
0.51,0.064517509122336
0.52,-0.034522579832371
0.53,-0.038452535635245
0.54,-0.024481974400656
0.55,-0.085446339198749
0.56,-0.275836562857486
0.57,-0.311959248091352
0.58,-0.451737065693038
0.59,-0.588227848161268
0.6,-0.720211372443184
0.61,-0.808040874121387
0.62,-0.888089805123551
0.63,-0.88758374845294
0.64,-0.971961911135134
0.65,-0.892414141046365
0.66,-0.904874768917093
0.67,-0.880558090098808
0.68,-0.770865155274207
0.69,-0.831427494485037
0.7,-0.826959061065759
0.71,-0.753473049850928
0.72,-0.752981989046548
0.73,-0.908024276133968
0.74,-0.91198092787672
0.75,-1.06091074000579
0.76,-1.1321053743503
0.77,-1.13712582835777
0.78,-1.20778449250688
0.790000000000001,-1.23201467956659
0.8,-1.1640341687278
0.810000000000001,-1.07937812159099
0.82,-0.945257995609788
0.83,-0.933001911502059
0.84,-0.862348072856399
0.850000000000001,-0.622987876207367
0.860000000000001,-0.536525362387944
0.87,-0.572979510238735
0.88,-0.510827395530339
0.890000000000001,-0.537584619114716
0.900000000000001,-0.475510207804345
0.910000000000001,-0.419662553773143
0.92,-0.440017669216459
0.930000000000001,-0.505099965954428
0.940000000000001,-0.52407111848162
0.950000000000001,-0.525348704547082
0.960000000000001,-0.412965121538291
0.970000000000001,-0.39810059705113
0.980000000000001,-0.260572155243162
0.990000000000001,-0.209440042533512
1,-0.031449070223598
